pk_permissionid,permission,permission_code,description
2,system.dashboard.view,system.dashboard.view,User view dashboard
5,system.user.view,system.user.view,Allow user to view users
6,system.user.add,system.user.add,Allow user to add users
7,system.user.manage,system.user.manage,Allow user to manage users
8,system.user.delete,system.user.delete,Allow user to delete users
9,system.role.view,system.role.view,Allow user to view roles
10,system.role.add,system.role.add,Allow user to add role
11,system.role.manage,system.role.manage,Allow user to manage role
12,system.role.delete,system.role.delete,Allow user to delete role
13,system.branch.view,system.branch.view,Allow user to view branch
14,system.branch.add,system.branch.add,Allow user to add branch
15,system.branch.manage,system.branch.manage,Allow user to manage branch
16,system.branch.delete,system.branch.delete,allow user to delete branch
17,system.department.view,system.department.view,Allow users to views departments
18,system.department.add,system.department.add,Allow users to add departments
19,system.department.manage,system.department.manage,Allow user to manage department
20,system.department.delete,system.department.delete,Allow user to delete department
21,system.form.view,system.form.view,Allow user to view forms
22,system.form.add,system.form.add,Allow user to add forms
23,system.form.manage,system.form.manage,Allow user to manage forms
24,system.form.delete,system.form.delete,Allow user to delete form
25,system.permission.view,system.permission.view,Allow user to view permissions
26,system.permission.add,system.permission.add,Allow user to add permissions
27,system.permission.manage,system.permission.manage,Allow user to manage permissions
28,system.permission.delete,system.permission.delete,Allow user to delete permissions
29,system.stage.view,system.stage.view,Allow user to stages
30,system.stage.add,system.stage.add,Allow users to stages
31,system.stage.manage,system.stage.manage,Allow user to stages
32,system.stage.delete,system.stage.delete,Allow users to stages
33,system.formflow.view,system.formflow.view,Allow users to view formflows
34,system.formflow.add,system.formflow.add,Allow users to add formflow
35,system.formflow.manage,system.formflow.manage,Allow users to manage formflow
36,system.formflow.delete,system.formflow.delete,Allow users to delete formflow
37,system.profiles.view,system.profiles.view,Allow users to views  profiles
38,system.projects.view,system.projects.view,Allow users to view projects
39,system.project.add,system.project.add,Allow users to add project
40,system.project.manage,system.project.manage,Allow users to manage project
41,system.project.delete,system.project.delete,Allow users to delete projects
42,system.dealerwaivers.view,system.dealerwaivers.view,Allow users to manage view dealer waivers
43,system.dealerwaiver.view,system.dealerwaiver.view,Allow users to view dealer waiver
44,system.dealerwaiver.add,system.dealerwaiver.add,Allow users to add dealer waiver
45,system.dealerwaiver.manage,system.dealerwaiver.manage,Allow users to manage dealer waiver
46,system.dealerwaiver.delete,system.dealerwaiver.delete,Allow users to delete dealerwaiver
47,system.dealerwaiver.files,system.dealerwaiver.files,Allow users to manage dealer waiver files
48,system.movedassets.view,system.movedassets.view,Allow users to view moved assets
49,system.movedasset.view,system.movedasset.view,Allow users to view moved asset
50,system.movedasset.add,system.movedasset.add,Allow users to add asset moved
51,system.movedasset.manage,system.movedasset.manage,Allow users to manage moved asset
52,system.movedasset.delete,system.movedasset.delete,Allow users to delete moved asset
53,system.movedasset.files,system.movedasset.files,Allow user manage asset movement files
54,system.staffexpenses.view,system.staffexpenses.view,Allow users to view staff expenses
55,system.staffexpense.view,system.staffexpense.view,Allow users to view staff expense
56,system.staffexpense.add,system.staffexpense.add,Allow users users to add staff expense
57,system.staffexpense.manage,system.staffexpense.manage,Allow users to manage staff expense
58,system.staffexpense.delete,system.staffexpense.delete,Allow users to delete staff expenses
59,system.staffexpense.files,system.staffexpense.files,Allow users to manage staff expense files
60,system.claims.view,system.claims.view,Allow users to views claims
61,system.claim.view,system.claim.view,Allow users to view claim
62,system.claim.add,system.claim.add,Allow users to add claim
63,system.claim.manage,system.claim.manage,Allow users to manage claim
64,system.claim.delete,system.claim.delete,Allow users to delete claim
65,system.claim.files,system.claim.files,Allow users to manage claim files
66,system.creditdebits.view,system.creditdebits.view,Allow users to views credit debits
67,system.creditdebit.view,system.creditdebit.view,Allow users to view credit debit
68,system.creditdebit.add,system.creditdebit.add,Allow users to add credit debit
69,system.creditdebit.manage,system.creditdebit.manage,Allow user to manage credit debit
70,system.creditdebit.delete,system.creditdebit.delete,Allow user to delete credit debit
71,system.assetdisposals.view,system.assetdisposals.view,Allow user to view asset disposals
72,system.assetdisposal.view,system.assetdisposal.view,Allow user to view asset disposal
73,system.assetdisposal.add,system.assetdisposal.add,Allow users to add asset disposal
74,system.assetdisposal.manage,system.assetdisposal.manage,Allow users to manage asset disposal
75,system.assetdisposal.delete,system.assetdisposal.delete,Allow users to delete asset disposal
76,system.assetdisposal.files,system.assetdisposal.files,Allow users to manage asset disposal
77,system.payablewaivers.view,system.payablewaivers.view,Allow users to view payable waivers
