pk_permissionid,permission,permission_code,description
1,User view dashboard,system.dashboard.view,User view dashboard
2,Allow user to view users,system.user.view,Allow user to view users
3,Allow user to add users,system.user.add,Allow user to add users
4,Allow user to manage users,system.user.manage,Allow user to manage users
5,Allow user to delete users,system.user.delete,Allow user to delete users
6,Allow user to view roles,system.role.view,Allow user to view roles
7,Allow user to add role,system.role.add,Allow user to add role
8,Allow user to manage role,system.role.manage,Allow user to manage role
9,Allow user to delete role,system.role.delete,Allow user to delete role
10,Allow user to view branch,system.branch.view,Allow user to view branch
11,Allow user to add branch,system.branch.add,Allow user to add branch
12,Allow user to manage branch,system.branch.manage,Allow user to manage branch
13,allow user to delete branch,system.branch.delete,allow user to delete branch
14,Allow users to views departments,system.department.view,Allow users to views departments
15,Allow users to add departments,system.department.add,Allow users to add departments
16,Allow user to manage department,system.department.manage,Allow user to manage department
17,Allow user to delete department,system.department.delete,Allow user to delete department
18,Allow user to view forms,system.form.view,Allow user to view forms
19,Allow user to add forms,system.form.add,Allow user to add forms
20,Allow user to manage forms,system.form.manage,Allow user to manage forms
21,Allow user to delete form,system.form.delete,Allow user to delete form
22,Allow user to view permissions,system.permission.view,Allow user to view permissions
23,Allow user to add permissions,system.permission.add,Allow user to add permissions
24,Allow user to manage permissions,system.permission.manage,Allow user to manage permissions
25,Allow user to delete permissions,system.permission.delete,Allow user to delete permissions
26,Allow user to stages,system.stage.view,Allow user to stages
27,Allow users to stages,system.stage.add,Allow users to stages
28,Allow user to stages,system.stage.manage,Allow user to stages
29,Allow users to stages,system.stage.delete,Allow users to stages
30,Allow users to view formflows,system.formflow.view,Allow users to view formflows
31,Allow users to add formflow,system.formflow.add,Allow users to add formflow
32,Allow users to manage formflow,system.formflow.manage,Allow users to manage formflow
33,Allow users to delete formflow,system.formflow.delete,Allow users to delete formflow
34,Allow users to views  profiles,system.profiles.view,Allow users to views  profiles
35,Allow users to view projects,system.projects.view,Allow users to view projects
36,Allow users to add project,system.project.add,Allow users to add project
37,Allow users to manage project,system.project.manage,Allow users to manage project
38,Allow users to delete projects,system.project.delete,Allow users to delete projects
39,Allow users to manage view dealer waivers,system.dealerwaivers.view,Allow users to manage view dealer waivers
40,Allow users to view dealer waiver,system.dealerwaiver.view,Allow users to view dealer waiver
41,Allow users to add dealer waiver,system.dealerwaiver.add,Allow users to add dealer waiver
42,Allow users to manage dealer waiver,system.dealerwaiver.manage,Allow users to manage dealer waiver
43,Allow users to delete dealerwaiver,system.dealerwaiver.delete,Allow users to delete dealerwaiver
44,Allow users to manage dealer waiver files,system.dealerwaiver.files,Allow users to manage dealer waiver files
45,Allow users to view moved assets,system.movedassets.view,Allow users to view moved assets
46,Allow users to view moved asset,system.movedasset.view,Allow users to view moved asset
47,Allow users to add asset moved,system.movedasset.add,Allow users to add asset moved
48,Allow users to manage moved asset,system.movedasset.manage,Allow users to manage moved asset
