"pk_projectid";"fk_departmentid";"project";"project_description";"notified_amount";"year";"date_created";"status"
"6";"7";"GT";"GT";"66000000.00";"2016";"0000-00-00";"0"
"7";"7";"NETWORK";"NETWORK	  
 ";"2146429000.00";"2017";"0000-00-00";"0"
"8";"7";"GT";"GT
";"75000000.00";"2017";"0000-00-00";"0"
"9";"3";"TANGIBLE IT";"TANGIBLE IT
";"74000000.00";"2017";"0000-00-00";"0"
"10";"2";"HEAD OFFICE";"HEAD OFFICE
";"60000000.00";"2017";"0000-00-00";"0"
"11";"1";"OPERATIONS";"OPERATIONS";"529462000.00";"2017";"0000-00-00";"0"
"32";"7";"NETWORK	";"NETWORK	";"381000000.00";"2018";"0000-00-00";"0"
"33";"7";"EXISTING NETWORK";"EXISTING NETWORK	  ";"1612700000.00";"2018";"0000-00-00";"0"
"34";"7";"GT";"GT	     ";"126200000.00";"2018";"0000-00-00";"0"
"35";"3";"IT";"IT	     
";"118000000.00";"2018";"0000-00-00";"0"
"36";"3";"IT -INTAGIBLE ";"IT -INTAGIBLE 	       ";"55000000.00";"2018";"0000-00-00";"0"
"51";"7";"New Network";"New Network";"218958000.00";"2019";"0000-00-00";"0"
"52";"7";"EXISTING NETWORK";"EXISTING NETWORK";"1438972000.00";"2019";"0000-00-00";"0"
"53";"7";"GENERAL TRADE excl MINING";"GENERAL TRADE excl MINING";"115740500.00";"2019";"0000-00-00";"0"
"54";"7";"LUBRICANTS (incl. blending)";"LUBRICANTS (incl. blending)";"106844750.00";"2019";"0000-00-00";"0"
"55";"3";"IT -TANGIBLE";"IT -TANGIBLE";"50000000.00";"2019";"0000-00-00";"0"
"56";"3";"IT INTANGIBLE";"IT INTANGIBLE";"78000000.00";"2019";"0000-00-00";"0"
"57";"2";"HEAD OFFICE 2019";"HEAD OFFICE";"574443000.00";"2019";"0000-00-00";"0"
"58";"1";"DEPOTS 2019";"DEPOTS";"276388480.00";"2019";"0000-00-00";"0"
"59";"1";"TRANSPORT 2019";"TRANSPORT";"855400000.00";"2019";"0000-00-00";"0"
"61";"7";"NETWORK";"NETWORK";"825000000.00";"2016";"0000-00-00";"0"
"62";"7";"EXISTING NETWORK";"EXISTING NETWORK";"765000000.00";"2016";"0000-00-00";"0"
"64";"3";"IT";"IT";"42000000.00";"2016";"0000-00-00";"0"
"65";"3";"IT -INTAGIBLE";"IT -INTAGIBLE";"50000000.00";"2016";"0000-00-00";"0"
"66";"1";"OPERATIONS";"OPERATIONS";"542000000.00";"2016";"0000-00-00";"0"
"77";"1";"OPERATIONS	";"OPERATIONS	     ";"805300000.00";"2018";"0000-00-00";"0"
"78";"1";"New Network(2020)";"New Network";"220000000.00";"2020";"0000-00-00";"1"
"79";"1";"Existing Network";"Existing Network";"1474623000.00";"2020";"0000-00-00";"1"
"80";"7";"General Trade";"General Trade";"135000000.00";"2020";"0000-00-00";"1"
"81";"7";"Lubricants";"Lubricants";"60000000.00";"2020";"0000-00-00";"1"
"82";"3";"Financial assets";"Financial assets";"30000000.00";"2020";"0000-00-00";"1"
"83";"1";"Logistics";"Logistics";"824080000.00";"2020";"0000-00-00";"1"
"84";"3";"Tangible Support Hq -IT";"Tangible Support Hq -IT";"77000000.00";"2020";"0000-00-00";"1"
"85";"3";"Intangible support -IT";"Intangible support -IT";"20000000.00";"2020";"0000-00-00";"1"
"86";"2";"HEAD OFFICE";"HEAD OFFICE SUPPORT";"5000000.00";"2020";"0000-00-00";"1"
